route_id,service_id,trip_id,trip_headsign,direction_id
IC1,TAEGLICH,IC1.001,Bern,0
IC1,TAEGLICH,IC1.002,Bern,0
IC1,TAEGLICH,IC1.003,Bern,0
IC1,TAEGLICH,IC1.004,Bern,0
IC1,TAEGLICH,IC1.005,Bern,0
IC1,TAEGLICH,IC1.006,Bern,0
IC1,TAEGLICH,IC1.007,Bern,0
IC1,TAEGLICH,IC1.008,Bern,0
IC1,TAEGLICH,IC1.009,Bern,0
IC1,TAEGLICH,IC1.010,Bern,0
IC1,TAEGLICH,IC1.011,Bern,0
IC1,TAEGLICH,IC1.012,Bern,0
IC1,TAEGLICH,IC1.013,Bern,0
IC1,TAEGLICH,IC1.014,Bern,0
IC1,TAEGLICH,IC1.015,Bern,0
IC1,TAEGLICH,IC1.016,Bern,0
IR75,TAEGLICH,IR75.001,Luzern,0
IR75,TAEGLICH,IR75.002,Luzern,0
IR75,TAEGLICH,IR75.003,Luzern,0
IR75,TAEGLICH,IR75.004,Luzern,0
IR75,TAEGLICH,IR75.005,Luzern,0
IR75,TAEGLICH,IR75.006,Luzern,0
IR75,TAEGLICH,IR75.007,Luzern,0
IR75,TAEGLICH,IR75.008,Luzern,0
IR75,TAEGLICH,IR75.009,Luzern,0
IR75,TAEGLICH,IR75.010,Luzern,0
IR75,TAEGLICH,IR75.011,Luzern,0
IR75,TAEGLICH,IR75.012,Luzern,0
IR75,TAEGLICH,IR75.013,Luzern,0
IR75,TAEGLICH,IR75.014,Luzern,0
IR75,TAEGLICH,IR75.015,Luzern,0
IR75,TAEGLICH,IR75.016,Luzern,0
IR75,TAEGLICH,IR75.017,Luzern,0
S3,WERKTAG,S3.001,Thalwil,0
S3,WERKTAG,S3.002,Thalwil,0
S3,WERKTAG,S3.003,Thalwil,0
S3,WERKTAG,S3.004,Thalwil,0
S3,WERKTAG,S3.005,Thalwil,0
S3,WERKTAG,S3.006,Thalwil,0
S3,WERKTAG,S3.007,Thalwil,0
S3,WERKTAG,S3.008,Thalwil,0
S3,WERKTAG,S3.009,Thalwil,0
S3,WERKTAG,S3.010,Thalwil,0
S3,WERKTAG,S3.011,Thalwil,0
S3,WERKTAG,S3.012,Thalwil,0
S3,WERKTAG,S3.013,Thalwil,0
S3,WERKTAG,S3.014,Thalwil,0
S3,WERKTAG,S3.015,Thalwil,0
S3,WERKTAG,S3.016,Thalwil,0
S3,WERKTAG,S3.017,Thalwil,0
S3,WERKTAG,S3.018,Thalwil,0
S3,WERKTAG,S3.019,Thalwil,0
S3,WERKTAG,S3.020,Thalwil,0
S3,WERKTAG,S3.021,Thalwil,0
S3,WERKTAG,S3.022,Thalwil,0
S3,WERKTAG,S3.023,Thalwil,0
S3,WERKTAG,S3.024,Thalwil,0
S3,WERKTAG,S3.025,Thalwil,0
S3,WERKTAG,S3.026,Thalwil,0
S3,WERKTAG,S3.027,Thalwil,0
S3,WERKTAG,S3.028,Thalwil,0
S3,WERKTAG,S3.029,Thalwil,0
S3,WERKTAG,S3.030,Thalwil,0
S3,WERKTAG,S3.031,Thalwil,0
S3,WERKTAG,S3.032,Thalwil,0
S3,WERKTAG,S3.033,Thalwil,0
S3,WERKTAG,S3.034,Thalwil,0
S3,WERKTAG,S3.035,Thalwil,0
S3,WERKTAG,S3.036,Thalwil,0
S3,WERKTAG,S3.037,Thalwil,0
S3,WERKTAG,S3.038,Thalwil,0
S5,WERKTAG,S5.001,Wetzikon ZH,0
S5,WERKTAG,S5.002,Wetzikon ZH,0
S5,WERKTAG,S5.003,Wetzikon ZH,0
S5,WERKTAG,S5.004,Wetzikon ZH,0
S5,WERKTAG,S5.005,Wetzikon ZH,0
S5,WERKTAG,S5.006,Wetzikon ZH,0
S5,WERKTAG,S5.007,Wetzikon ZH,0
S5,WERKTAG,S5.008,Wetzikon ZH,0
S5,WERKTAG,S5.009,Wetzikon ZH,0
S5,WERKTAG,S5.010,Wetzikon ZH,0
S5,WERKTAG,S5.011,Wetzikon ZH,0
S5,WERKTAG,S5.012,Wetzikon ZH,0
S5,WERKTAG,S5.013,Wetzikon ZH,0
S5,WERKTAG,S5.014,Wetzikon ZH,0
S5,WERKTAG,S5.015,Wetzikon ZH,0
S5,WERKTAG,S5.016,Wetzikon ZH,0
S5,WERKTAG,S5.017,Wetzikon ZH,0
S5,WERKTAG,S5.018,Wetzikon ZH,0
S5,WERKTAG,S5.019,Wetzikon ZH,0
S5,WERKTAG,S5.020,Wetzikon ZH,0
S5,WERKTAG,S5.021,Wetzikon ZH,0
S5,WERKTAG,S5.022,Wetzikon ZH,0
S5,WERKTAG,S5.023,Wetzikon ZH,0
S5,WERKTAG,S5.024,Wetzikon ZH,0
S5,WERKTAG,S5.025,Wetzikon ZH,0
S5,WERKTAG,S5.026,Wetzikon ZH,0
S5,WERKTAG,S5.027,Wetzikon ZH,0
S5,WERKTAG,S5.028,Wetzikon ZH,0
S5,WERKTAG,S5.029,Wetzikon ZH,0
S5,WERKTAG,S5.030,Wetzikon ZH,0
S5,WERKTAG,S5.031,Wetzikon ZH,0
S5,WERKTAG,S5.032,Wetzikon ZH,0
S5,WERKTAG,S5.033,Wetzikon ZH,0
S5,WERKTAG,S5.034,Wetzikon ZH,0
S5,WERKTAG,S5.035,Wetzikon ZH,0
S5,WERKTAG,S5.036,Wetzikon ZH,0
S5,WERKTAG,S5.037,Wetzikon ZH,0
S5,WERKTAG,S5.038,Wetzikon ZH,0
S7,TAEGLICH,S7.001,Winterthur,0
S7,TAEGLICH,S7.002,Winterthur,0
S7,TAEGLICH,S7.003,Winterthur,0
S7,TAEGLICH,S7.004,Winterthur,0
S7,TAEGLICH,S7.005,Winterthur,0
S7,TAEGLICH,S7.006,Winterthur,0
